Titre,subtext,subtext1,date,description,information,motclé,textlink,btn_lien
Ingénieur informatique WEB,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"6 ans d'expérience en CDS dans le travail d'analyse / développeur de site WEB (C# / cobol). 
J'ai travaillé sur des projets de la création des ...",Points forts,"Faire preuve d'autonomie
Organiser son travail selon les priorités et les objectifs
Analyser les données d'une étude, d'un projet
Rédiger un cahier des charges, des spécifications techniques
Recueillir et analyser les besoins client",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8077775344/17070576
"Je recherche un emploi dans les domaines de la vente ,du sport , de l'informatique ou dans l'immobilier indépendant",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Plus d'un d'expérience dans le secteur du nettoyage, j'ai notamment travaillée pour de grandes enseignes réputées telles que , Hartmann, Cuisinella ...",Points forts,"Être à l'écoute, faire preuve d'empathie
Faire preuve de curiosité
Organiser, aménager un espace de vente
Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/2092289614/13925167
"
Diplômé Licence Informatique Générale",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Diplômé d'une licence en informatique générale, je suis à la recherche d'un emploi pour mettre à profit les compétences et connaissances acquises au ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8219496814/17152805
"
Employé du secteur informatique",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Après plusieurs années dans le secteur de la logistique et du transport, je suis a la recherche d'un métier qui conviendrait à mon projet actuel. ...",Points forts,"Faire preuve de persévérance
Faire preuve de réactivité
S'adapter aux changements
Anglais
B - Véhicule léger",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8187130777/11679054
"
AGENT TERRITORIALE ( accueil, titres d'identité, urbanisme, arretes de voirie), SECRETAIRE - ANIMATRICE D'ATELIER CREATIF POUR ENFANT - ANIMATRICE DE COURS D'INFORMATIQUE",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"7 ans d'expérience  en agent territorial (Mairies)
10 ans d'expérience dans le domaine du secrétariat,14 ans d'animation en atelier créatif pour ...",Points forts,"Faire preuve d'autonomie
Gestion administrative du courrier
PREPARATION ET ANIMATION D'ATELIER CREATIF ET D'INFORMATIQUE
La compétence est validée par 1 entreprises
Utiliser les outils numériques",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1256900096/1418677
"
Technicien réseau informatique",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Minutieux, autonome et esprit d'équipe",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8117927033/5610991
DEVELOPPEUR INFORMATIQUE,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Développeur Full Stack, web logiciel ou mobile, je souhaite développer mes compétences au sein d'une entreprise dynamique ",Points forts,"Faire preuve d'autonomie
Prendre des initiatives et être force de proposition
PHP
Réaliser la mise en production de solutions logicielles dans un environnement d'exploitation
SQL",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/2169505575/13728132
"
Formation en développement informatique",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,Expériences avec de nombreux outils digitaux. Facilité à la prise en main de nouveaux logiciels.,Points forts,"Informations chiffrées ou codées
Maitrise Canva
Outils de veille
Calibrage de texte
Anglais",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8210595015/17203341
"logistique, administration, informatique",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"chef de projets chevronné, je suis à la recherche d'un défi stimulant 
Réalisations notables:
•	Nommé meilleur fournisseur de services ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1959345934/16805689
Technicien support de proximité en informatique,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Passionné dans l’informatique, j’ai 4ans d’expérience dans différents postes comme savoir gérer une gestion de stock, assurer la réception des ...",Points forts,"Changer ou réparer une pièce ou un ensemble défectueux
Faire preuve d'autonomie
Faire preuve de réactivité
Intégrer des composants d'équipements informatiques ou bureautiques
Travailler en équipe",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8202018689/16743875
